,flt12_buy.csv,flt12_sell.csv,flt1_buy.csv,flt3_buy.csv,flt3_sell.csv,flt6_buy.csv,flt6_sell.csv,flt9_buy.csv,flt9_sell.csv,average
2000M07,0.007970034825639863,0.0021077271533089205,-0.010092010145970118,0.021131284199899972,0.00022296727935349446,0.0035859252110551957,0.0013908143463178821,0.003187732205352642,-8.400229993130596e-05,0.003268941419447394
2000M08,0.007408382498159027,0.003078958137232181,0.011083346588291677,0.005392702519289028,0.005614859558214888,0.005121464527046497,0.0030074100376518997,0.0031036206576791677,0.00041869161715101666,0.0049143817934128205
2000M09,0.009612706500832348,0.00589899289924627,0.028894256450279383,0.012033101867391684,0.019301068511690875,0.009721273032523736,0.007368421146590877,0.006613185033384851,0.0020358930135126034,0.01127543316171696
2000M10,0.007758378706093729,0.002650454051015734,-0.010159393993353243,0.006882702571975474,0.00029678399935411173,0.007497093251771882,0.001764870157536342,0.005006474261621175,0.0004788700392751773,0.0024640258939211536
2000M11,0.008252920979463374,0.004067578051844008,0.015417524931663347,0.009066842222962132,0.007700819011901049,0.0043422336410060235,0.004039188755751848,0.007033058581807688,0.0012392513166014376,0.006795490832555656
2000M12,0.005156946612348802,0.0018024929198700976,-0.01925329254399071,-0.008100981111834792,-0.0043073726701791494,-0.00030221687658560283,0.00038628098685605577,0.004099605881059478,8.500034082969081e-05,-0.002270392940180681
2001M01,0.004836044325100535,0.0016170322992396958,-0.0017332290646291724,-0.006767336817742406,-0.005296235143934409,-0.0005788685705248975,8.68367604064395e-05,0.003809479374034379,-1.1149710831176484e-06,-0.0004474879787925505
2001M02,0.003506964003556691,0.0007964258300189489,-0.009379900106630111,-0.010392029831548723,-0.010077316146682651,-0.0031745793001706863,-0.001320295297900757,-0.0010620040826016773,-0.00039363091300383194,-0.0034995962049958664
2001M03,0.0001954345787410841,-0.0013326777457551833,-0.0265786602032761,-0.018801743513633513,-0.01393495953176397,-0.007142834192448384,-0.005242783862380881,-0.004882234959155834,-0.0014301275472932097,-0.008794509664107334
2001M04,0.0013249982168801744,-0.0005589724393232002,0.009270309060454028,-0.001818730081266681,-0.007963798480861914,-0.00231232929985646,-0.0037128291633260102,-0.0025298922855301847,-0.0010192711921826645,-0.0010356128516681015
2001M05,-0.0018341176268896662,0.00034988503557184395,0.01149288392081852,0.003639670316933616,0.0024723370153636568,-0.0007094989442361956,-0.0019873463473562576,-0.0013861804826202986,-0.0005797208801289138,0.0012731013341618117
2001M06,-0.0030394505155267922,-0.00041807641613187015,-0.009673713475382923,-0.0010229315682081588,0.00012504293278643372,-0.002044928503751705,-0.0009246036113722024,-0.00231916446424486,-0.0009316155029571205,-0.0022499379027543552
2001M07,-0.00741337944691277,-0.0030579629373733695,-0.033506730596020926,-0.02097640161890441,-0.016302885973761293,-0.006758155065323721,-0.005431778000242986,-0.005751045007853174,-0.00229647141122963,-0.011277201117513586
