,sup12_buy.csv,sup12_sell.csv,sup3_buy.csv,sup3_sell.csv,sup6_buy.csv,sup6_sell.csv,sup9_buy.csv,sup9_sell.csv,average
1999M04,-0.0024119063501476844,-0.0027546081525445616,0.025663881468264454,0.029950364195703377,0.0026447081061209124,-0.005088812931971396,-0.005702412492671087,-0.007004046032802951,0.004412145976243884
1999M05,-0.002471333364273607,-0.002722274128478391,0.0024302713981231385,0.028559520170342856,-0.0011674601180122987,-0.004968985973063416,-0.00482990807701482,-0.0068556438026488725,0.0009967732631218237
1999M06,-0.0019691966033830387,-0.0019335890837785324,0.007048260398151562,0.01624882940162013,-5.376455877677917e-05,-0.003988526403516763,-0.004755076620843492,-0.006283776108778864,0.0005391450525867778
1999M07,0.0007521569007873218,0.00314116217560587,0.02331972308631748,0.015200819955246811,0.004598369227467102,0.0020946792669200793,-0.0035307933084372466,-0.0020376011545893634,0.005442314518664758
1999M08,0.0012953615555436246,0.00757692581271996,0.014298723539311022,0.0254768076137135,0.003441037006430012,0.007355624589919837,-0.00214876868820684,0.0025315993909041973,0.0074784138525419135
1999M09,0.002233010570378542,0.012925258575802434,0.014671167940414245,0.03160855171678083,0.004155638619499314,0.009741223391277315,-0.0012320971205665341,0.008226569333694058,0.010291165378410025
1999M10,0.0010162726001269914,0.011741376203348836,0.0038549190044135178,0.011112071739555685,0.001361453029171203,0.004491370785493484,-0.0015470691776630586,0.006827798790287031,0.004857274121841712
1999M11,0.0029530884018669117,0.01797052715359492,0.015028591305006,0.01200489882936443,0.004697250930551735,0.008148802302156486,-0.000529906532811911,0.013073650153104549,0.009168362817854141
1999M12,0.0027176069651576366,0.020375937624857392,0.009989241371483899,0.007883998709181031,0.0036190262645641015,0.00896474960239552,-0.0003470249224475083,0.011899021497374956,0.008137819639070879
2000M01,0.0022453702629838136,0.01877873707563764,0.0058934904765452194,0.00879265278863936,0.0025457623402080284,0.004433421087927188,-0.00047659075318370664,0.007295482746984646,0.006188540753217773
2000M02,0.0044470595037748965,0.025862120203991527,0.01706265128376321,0.010017735397344085,0.0060919238677976115,0.005614431166221033,0.0008365416233077396,0.011581632591737577,0.01018926195474221
2000M03,0.0027527803039691765,0.01893260187655084,0.0051256525302099155,0.00508126946106972,0.0027358704597530517,0.0031407630632025447,9.675416875765404e-05,0.010132566870453238,0.0059997823417457675
2000M04,-0.0008410127843810962,0.004301142224529166,-0.01580380687770604,-0.015517862121730525,-0.00352676648137619,-0.0024328518771834524,-0.001797643991592472,-7.904386670497254e-06,-0.004453338287013888
2000M05,0.0028252547620554584,0.011015840523124456,0.008272060408462425,0.014858615390728643,0.0033154442388507693,0.00179171122738323,-9.206721727006615e-05,0.0031287217399046992,0.005639447634154952
2000M06,0.0048618361440314365,0.014814744809718368,0.01738982842717872,0.027013260185334773,0.0063320825832173825,0.00514208010647375,0.0011510145812055595,0.004501569473275388,0.010150802038804422
2000M07,0.0021077271533089205,0.007970034825639861,0.00022296727935350834,0.02113128419989995,0.0013908143463178847,0.0035859252110551974,-8.400229993130406e-05,0.003187732205352636,0.004939060365124583
2000M08,0.0030789581372321823,0.007408382498159019,0.005614859558214888,0.005392702519289022,0.003007410037651901,0.005121464527046497,0.0004186916171510184,0.003103620657679167,0.004143261194052962
2000M09,0.005898992899246265,0.009612706500832346,0.01930106851169086,0.01203310186739168,0.007368421146590875,0.00972127303252373,0.0020358930135126073,0.006613185033384848,0.009073080250646652
2000M10,0.00265045405101573,0.007758378706093722,0.0002967839993540996,0.006882702571975466,0.0017648701575363364,0.0074970932517718705,0.00047887003927517795,0.005006474261621173,0.0040419533798304475
2000M11,0.004067578051844006,0.00825292097946338,0.007700819011901052,0.009066842222962126,0.004039188755751848,0.0043422336410060165,0.0012392513166014384,0.007033058581807693,0.005717736570167196
2000M12,0.0018024929198700952,0.005156946612348799,-0.0043073726701791624,-0.008100981111834785,0.00038628098685605274,-0.00030221687658559763,8.500034082968989e-05,0.004099605881059476,-0.0001475304897044289
2001M01,0.0016170322992396975,0.0048360443251005405,-0.0052962351439344,-0.006767336817742416,8.68367604064447e-05,-0.0005788685705249022,-1.1149710831174315e-06,0.0038094793740343753,-0.0002867703430629722
2001M02,0.0007964258300189458,0.0035069640035566866,-0.010077316146682657,-0.010392029831548733,-0.001320295297900757,-0.003174579300170675,-0.000393630913003832,-0.0010620040826016743,-0.002764558217291587
