,osc12_5.csv,osc1_5.csv,osc3_5.csv,osc6_5.csv,osc9_5.csv,average
1999M04,-0.005946018773205337,0.009462894414941081,0.01041914929167884,-0.0013065741310948897,-0.0019687488505487037,0.002132140390354198
1999M05,-0.0022696899832321694,0.00968805282778162,0.013009702567942143,0.0028297610464360686,0.0011219143793305842,0.004875948167651649
1999M06,-0.0016135721228145022,-0.00739608709983306,0.007626601706885677,0.004308876609631779,-0.0013264431810261802,0.0003198751825687424
1999M07,0.0027149692212516292,0.009330381101196113,0.009274600077807333,0.013704621628788754,0.005123159603510338,0.008029546326510834
1999M08,0.00401402989340853,0.009464914054061802,0.009156205327778543,0.015147154559248274,0.006124904230175338,0.008781441612934498
1999M09,0.005349025562890996,0.009834500046478541,0.014242555115360666,0.016596020113640236,0.010186991629943134,0.011241818493662714
1999M10,0.006278832887464499,-0.006656171155592264,0.010941135800750835,0.014000850930305715,0.011440380393656444,0.007201005771317046
1999M11,0.006509914893146654,0.00964131969020306,0.010204529313535514,0.013290818362210337,0.011902085102004445,0.010309733472220002
1999M12,0.009668158843993168,0.009896780159023,0.009791480057615232,0.017960160135745758,0.012818540125180538,0.012027023864311539
2000M01,0.012975773292436474,0.010360945378952532,0.014630133626164025,0.01845964371778741,0.013642333081063043,0.014013765819280696
2000M02,0.012943575888900495,-0.0065368016245683285,0.014068563547995874,0.017635687730747085,0.01300141756061105,0.010222488620737236
2000M03,0.010128847439207942,-0.006747886666420318,0.004970140118174938,0.009054976815638108,0.011378448652600587,0.005756905271840252
2000M04,0.005858695594913322,-0.007143488234202767,-0.010581913342525038,0.0030844766593818556,0.005233272198966632,-0.0007097914246931989
2000M05,0.005936047745229076,0.010245958016860521,-0.005169003197808557,0.0044347553132043,0.005435569536153694,0.004176665482727807
2000M06,0.006305886879710133,-0.00688340846037984,-0.003914982521135381,0.0005005002455104914,0.0028984749422011416,-0.00021870578281869106
2000M07,0.005456090726274253,0.010045427269824868,0.009206198524910593,-0.0037395804457520613,0.004630941857693187,0.005119815586590168
2000M08,0.004626188951992115,-0.0066237089139106935,0.0047524473597935005,-0.0039041237840312226,0.004082035503867137,0.0005865678235421673
2000M09,0.005038870798721378,0.009913859627268306,0.01242993178051631,0.005148088838316672,0.004862693175683653,0.0074786888441012635
2000M10,0.002454150315190664,-0.0061791985477007835,0.000111666572209684,0.004271911991663945,-0.001185014886080091,-0.0001052969109433163
2000M11,0.0010831389767611086,-0.006366124938317517,-0.001840842747418827,-0.0008305478693546361,-0.0022342147606638496,-0.0020377182677987445
2000M12,0.0013310600859260634,0.009279490697797647,-0.002924095488772732,0.0035652266761188774,0.0010702783064687072,0.0024643920555077127
2001M01,-0.0005159810841568017,0.00926445425114646,0.004104129101053643,0.002295069760844563,0.004066112638762455,0.0038427569335300637
2001M02,-0.0008861779157724528,-0.006005501385528699,0.008089836338470728,0.0015442156431652431,0.002221743001361876,0.000992823136339339
2001M03,-0.0013015338785660295,-0.006285604769430227,-0.006714974561415468,-0.0064678162058609216,0.0005865861215019631,-0.004036668658754137
2001M04,-0.00011047596201120904,-0.006358923958729828,-0.009683975231182106,-0.004045094270781471,-0.0014375609214774977,-0.004327206068836421
2001M05,-7.695297102545094e-05,0.009069979153092874,-0.0032548810010280572,0.0018951448005111882,4.2370468308128295e-05,0.0015351320899717365
2001M06,-0.0013092645603246383,-0.006127865362304336,-0.0035674020758159923,-0.007547715179021494,-0.004412737163197329,-0.004592996868132758
2001M07,-0.003625428060867174,-0.0064069024827612675,-0.005170264885189362,-0.010602153343537576,-0.004136557380670388,-0.005988261230605153
2001M08,-0.004324001479439191,-0.006600375972941701,-0.010085714023584137,-0.011167907882998174,-0.004283629306343342,-0.00729232573306131
2001M09,-0.00745552448261859,-0.006760379067445958,-0.010272004821187133,-0.010928344814587184,-0.008222467467231242,-0.008727744130614022
2001M10,-0.0073375792318139815,-0.006994853093000131,-0.01056204661486637,-0.01155876769651024,-0.009686826315150006,-0.009228014590268145
2001M11,-0.004843977102008961,0.008585072414730086,-0.0029286637743298075,-0.010464416126327817,-0.006784041639925329,-0.003287205245572366
2001M12,-0.006216721652206569,0.008640595380746297,0.002238086911778122,-0.0068325418738878485,-0.004741797165811715,-0.0013824756798763427
2002M01,-0.005229032635508327,0.008769099869911347,0.01214770695485525,-0.0010536487324603137,-0.0026622641026182257,0.002394372270835946
2002M02,-0.0045400475961355526,0.008749333982361395,0.012080006110610289,0.003033919272233926,-0.0037671095871610414,0.003111220436381803
2002M03,-0.001824169415181414,0.00892515361951771,0.012274961747465854,0.009682882711189283,-0.000103104960656129,0.005791144740467061
2002M04,-0.0016926111401548982,-0.006699182286804628,0.006858688537093729,0.014656442270264677,0.0014737246356423313,0.002919412403208242
2002M05,-0.003343010671748114,-0.006751354390815999,0.0018268770980376554,0.009319457700018725,0.002520404321143338,0.0007144748113271211
2002M06,-0.0009678113898918383,0.008751076812127532,-0.0012614779569458043,0.00952457136497755,0.005546077836137512,0.004318487333280991
2002M07,0.00022121735409424623,-0.006579387415729508,-0.001699530362301636,0.003984834167027933,0.007712778597182135,0.0007279824680546342
2002M08,-0.0005402575803937527,-0.006866552080728543,-0.005331536355307664,-0.003241258244512069,0.001698403152138801,-0.002856240221760645
2002M09,0.0008763076573976517,0.008562515172313916,-0.00884206671866698,-0.008267819582828548,0.0009548064838838088,-0.0013432513975800303
2002M10,0.0033363924624054703,0.008548914922725904,-0.005836015237615198,-0.005714295955912694,-0.00031093989256458093,4.8112598077802025e-06
2002M11,0.004234060133885,0.008867293412542394,0.011719583316542725,0.0033141047620059982,0.0026745840775371926,0.006161925140502662
2002M12,0.0037997781831466976,0.008821997576014057,0.011625147122862214,0.0018748196675380316,0.0010195375129922104,0.005428256012510642
2003M01,0.004205454599927933,0.008982289297733871,0.011808824978322875,0.006762536147708538,0.003800188035155583,0.00711185861176976
2003M02,0.005232581535939531,0.009144563720819366,0.011994633775139714,0.01716512270669731,0.006402470186412592,0.009987874385001703
2003M03,0.0027422436215435494,-0.006788265437844516,0.006509162149048252,0.012367460488892108,0.0040912242403272035,0.003784365012393319
2003M04,0.000982724238998504,-0.00702582687842521,-0.0025153930390654335,0.005613616595240718,0.002149880974313444,-0.00015899962178759567
2003M05,0.0034357618466835174,0.008920022525894026,-0.0007915621357103587,0.00554399260483196,0.006767857423026448,0.004775214452945119
2003M06,0.003536789783498206,0.008978292234729738,0.003004277134948623,0.006412087916628147,0.007203624431826584,0.00582701430032626
2003M07,0.004767323257266991,0.009025141981703979,0.011501397150469786,0.0056860102163632745,0.007486410257849244,0.007693256572730655
2003M08,0.008125723635345512,0.009104674872926651,0.011581111060198332,0.005104745164173481,0.006939202335749701,0.008171091413678735
2003M09,0.007745218149005462,-0.006681118483832103,0.009949900539277844,0.007187463096647077,0.006540780069354346,0.004948448674090525
2003M10,0.009177331174900452,0.009009991284280436,0.011152712742962007,0.01629562467308262,0.007766352166825396,0.010680402408410183
2003M11,0.00955850624290211,0.009255787215808029,0.01160226946397885,0.0166422937500322,0.00841107085052521,0.01109398550464928
2003M12,0.010958980320729417,0.009630738173622151,0.012604115398245547,0.017322677229136652,0.011230988146761833,0.01234949985369912
2004M01,0.01236795717434947,0.010117111875068717,0.013215705948118738,0.018177848110616356,0.015272857542020896,0.013830296130034836
2004M02,0.01347211202510618,0.010516817281039002,0.013710448045083055,0.018825760336929873,0.01609425733876925,0.014523879005385473
2004M03,0.014497531474724929,0.010515680694490784,0.013676144814347566,0.018967145579821515,0.015994792816173255,0.014730259075911611
2004M04,0.016621018473535736,0.010460494941962904,0.013571616521224397,0.018752022918581947,0.015776272167954603,0.015036285004651918
2004M05,0.010472623029459763,-0.0062376684016476214,-0.005315451156972895,0.009962839982933907,0.009822297769032243,0.0037409282445610794
2004M06,0.010871679699180539,0.00990573155458286,-0.0017791087218613603,0.009377647571300904,0.01048414475183135,0.007772018971006859
2004M07,0.011349128247007212,0.010071840350478985,0.001777026152261222,0.008058976909692933,0.01054968858122259,0.008361332048132589
2004M08,0.01026545590288509,-0.005985312021768181,0.0092737547503484,0.0022285825649388472,0.009148176759471958,0.004986131591175223
2004M09,0.010500681250936714,0.009909816089081255,0.008125691700965804,0.002225054019115434,0.008378657740890269,0.007827980160197895
2004M10,0.010961317319155338,0.010187820619166949,0.009499394144266204,0.006118809590391372,0.008238059552007257,0.009001080244997423
2004M11,0.010642935825281452,0.010176719629438315,0.013094789326815263,0.015485541247705811,0.006594754291897277,0.011198948064227625
2004M12,0.010092867085255551,0.010180352572832202,0.013071057662438193,0.015098818223305955,0.006657571554089329,0.011020133419584247
2005M01,0.010826150133463058,0.010610431013235928,0.013609323312665629,0.016439639494381438,0.0092252117779276,0.012142151146334731
2005M02,0.01048855900159303,0.01072971496709458,0.0137372590138283,0.018751276616191685,0.014799737830699199,0.013701309485881358
2005M03,0.011366915878222198,0.010932248466485583,0.013974137891260539,0.019006116562194683,0.015212293082473221,0.014098342376127245
2005M04,0.009579165551309648,-0.005869037610476295,0.00830515962933144,0.014673578389563333,0.012379382166304596,0.007813649625206545
2005M05,0.00984176758022447,-0.006125918287778097,-0.0004266542679863608,0.00838390494596606,0.009137855733479382,0.004162191140781091
2005M06,0.009770215269453215,0.01071244012467832,-0.0043214547696308735,0.008752351801217195,0.009377581104782273,0.006858226706100026
2005M07,0.009171412928167238,0.010654454326462177,-0.0019405285650522259,0.004829265586844943,0.008358932927927372,0.0062147074408699
2005M08,0.010968998812662889,0.01086403086979006,0.01341976082788284,0.006131013746475719,0.009420094485752952,0.01016077974851289
2005M09,0.010579438625903733,-0.0059606994923335245,0.01245085305214882,0.0020123298373190338,0.008988674174426602,0.005614119239492933
2005M10,0.010472014193820668,0.010775992126085512,0.01287471264826452,0.007890746488495115,0.008039162215052912,0.010010525534343746
2005M11,0.011440458503893521,0.010997457532000775,0.013165543458837123,0.017992630444952237,0.008849840126903354,0.012489186013317402
2005M12,0.01306792150025297,0.011442016713233336,0.014211476454630938,0.01879861533581037,0.010418784913890486,0.01358776298356362
2006M01,0.013469057902923737,0.011726835194018664,0.014556564812866647,0.01926028313192312,0.01319763076396493,0.01444207436113942
2006M02,0.013840958565205667,0.011872642712752488,0.01472041850454139,0.01942189815601798,0.016851904442466554,0.015341564476196815
2006M03,0.01350240601104629,0.011860797329418244,0.014680039843017552,0.019523427151719352,0.016754973604915777,0.015264328788023442
2006M04,0.0175202468202657,0.012724691977872214,0.015770635868588206,0.020918882968076886,0.018534639206785275,0.017093819368317657
2006M05,0.021790519706494274,0.013597129671204838,0.016868318005539812,0.022316746518668648,0.020287903750124788,0.018972123530406473
2006M06,0.013644767621917396,-0.005727375740401037,0.008702017266592603,0.012635613310873367,0.012894207584179728,0.008429846008632412
2006M07,0.014631522877288762,0.012827179185875823,0.007495866411345101,0.013273467007786031,0.013673280871003375,0.01238026327065982
2006M08,0.014426004365373033,0.012799168012584943,0.0008312252521993115,0.012940459914398694,0.013447230965682469,0.01088881770204769
2006M09,0.014225581271995344,-0.005260378556105225,0.015315553858812496,0.012562781790633294,0.01264225467446575,0.009897158607960333
2006M10,0.014661742467284265,0.012700397815753647,0.015200575040407567,0.010792044180714989,0.012838833472969496,0.013238718595425992
2006M11,0.01391026339472683,-0.004949720192869616,0.011591119689310264,0.0032776366617860986,0.012054409661644441,0.007176741842919604
2006M12,0.013353248280892033,0.012576629065438386,0.013045287096855897,0.01870171692338956,0.012012957335411585,0.013937967740397492
2007M01,0.010046956513420153,-0.0048672750380722146,-0.0065597240620690386,0.002726486329243086,0.006875760464939387,0.0016444408414922746
2007M02,0.009992969833724205,0.012171869178698405,-0.0006615523003796996,0.004273297706441958,0.002227424214829179,0.0056008017266628105
2007M03,0.011077501465117205,0.012467559425565062,0.0061875124928590375,0.010034129491651899,0.011654532315753799,0.010284247038189401
2007M04,0.01126654805852216,0.012961211820359891,0.016081768758138066,0.013056183462435091,0.013124544974686325,0.013298051414828305
2007M05,0.00898986101411228,0.01298922459537628,0.016092251565946313,0.01440317874815913,0.013391110789416268,0.013173125342602055
2007M06,0.010530894217491484,-0.004702092124017808,0.0071159083961569915,0.008142250000996134,0.008846748279143292,0.005986741753954018
2007M07,0.009341454209356987,0.012551598068998446,-0.0006940158645979194,0.012624615035411308,0.00800050675050015,0.008364831639933795
2007M08,0.005878839822917295,-0.004605686131404199,-0.006807995206048055,0.007104478245406061,0.005327864417060502,0.001379500229586321
2007M09,0.00686673674286609,0.012149062277416885,0.0011135757983398512,0.005629989579482953,0.0060411563207075185,0.00636010414376266
2007M10,0.007687506886801332,0.012423366307341494,0.0064082623126084145,0.0036033279761842583,0.010125378151558766,0.008049568326898853
2007M11,0.00686688139310861,-0.004402821394330757,0.010597323698237881,0.0005128394412315714,0.008468646597279804,0.004408573947105423
2007M12,0.003925839416807773,-0.004797728349834129,0.0011763004132820717,1.9283997375364736e-06,0.003777675344753959,0.0008168030449494422
2008M01,0.006859564382435181,0.012221269037278503,-0.0007383606774465238,0.002487237025804551,0.0017800125559881488,0.004521944464811972
2008M02,0.008422882065857885,0.012586923613849036,0.007004734813494573,0.010440277725989058,0.004315135036636287,0.008553990651165369
