,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
2012M04,62.5,62.5,54.6875,54.6875,56.25,53.125
2012M05,63.02083333333333,63.02083333333333,55.208333333333336,55.20833333333333,55.729166666666664,52.08333333333333
2012M06,63.54166666666667,63.02083333333333,54.6875,55.20833333333333,56.25,52.604166666666664
2012M07,62.5,62.5,56.25,53.64583333333333,56.77083333333333,51.5625
2012M08,59.89583333333333,60.416666666666664,54.166666666666664,51.04166666666667,54.6875,50.0
2012M09,56.25,56.77083333333333,53.64583333333333,50.0,53.125,47.39583333333333
2012M10,53.125,53.64583333333333,52.604166666666664,49.479166666666664,51.5625,46.354166666666664
2012M11,50.52083333333333,52.08333333333333,51.041666666666664,48.95833333333333,49.479166666666664,45.83333333333333
2012M12,50.0,52.08333333333333,52.604166666666664,48.95833333333333,49.479166666666664,45.83333333333333
2013M01,48.4375,50.52083333333333,51.041666666666664,48.4375,48.958333333333336,45.83333333333333
2013M02,48.95833333333333,51.041666666666664,52.604166666666664,50.0,50.0,47.39583333333333
2013M03,48.4375,50.0,53.64583333333333,50.0,50.52083333333333,46.354166666666664
2013M04,50.52083333333333,52.08333333333333,54.6875,52.083333333333336,50.52083333333333,48.95833333333333
2013M05,53.125,53.125,55.72916666666666,53.125,52.08333333333333,51.041666666666664
2013M06,51.04166666666667,52.08333333333333,55.20833333333333,52.604166666666664,50.0,48.95833333333333
2013M07,51.041666666666664,52.60416666666667,57.291666666666664,53.125,51.5625,49.47916666666666
2013M08,52.08333333333333,54.6875,58.33333333333333,54.166666666666664,54.68749999999999,50.52083333333333
2013M09,50.52083333333333,53.645833333333336,57.8125,53.125,54.6875,51.5625
2013M10,46.875,51.5625,56.77083333333333,50.52083333333333,54.6875,51.5625
2013M11,45.3125,50.520833333333336,56.25,50.0,53.645833333333336,52.08333333333333
2013M12,46.875,51.5625,56.77083333333333,50.52083333333333,54.166666666666664,53.645833333333336
2014M01,45.83333333333333,50.52083333333333,55.72916666666667,49.99999999999999,52.60416666666666,52.60416666666667
2014M02,46.875,51.04166666666667,56.770833333333336,50.52083333333333,54.16666666666666,53.64583333333333
2014M03,45.83333333333333,50.52083333333333,55.729166666666664,50.0,53.64583333333333,53.64583333333333
2014M04,46.354166666666664,50.0,56.25,51.04166666666667,53.64583333333333,53.125
2014M05,44.27083333333333,47.916666666666664,56.25,51.5625,54.6875,55.20833333333333
2014M06,45.3125,49.479166666666664,57.8125,52.08333333333333,54.6875,55.20833333333333
2014M07,45.83333333333333,49.479166666666664,57.291666666666664,53.125,53.64583333333333,56.24999999999999
2014M08,47.395833333333336,50.52083333333333,58.85416666666667,55.729166666666664,55.20833333333333,58.33333333333333
2014M09,50.52083333333333,53.125,59.375,56.25,56.24999999999999,59.37499999999999
2014M10,52.08333333333333,54.6875,59.375,55.729166666666664,56.77083333333333,59.895833333333336
2014M11,53.645833333333336,55.729166666666664,59.89583333333333,55.729166666666664,56.770833333333336,59.375
2014M12,54.6875,56.25,59.89583333333333,56.25,56.25,59.375
2015M01,54.6875,56.25,59.375,56.77083333333333,55.72916666666667,58.333333333333336
2015M02,55.729166666666664,57.8125,59.895833333333336,57.8125,56.77083333333333,57.8125
2015M03,54.16666666666667,56.770833333333336,56.77083333333333,57.8125,55.20833333333333,57.29166666666667
2015M04,54.166666666666664,56.77083333333334,57.291666666666664,57.291666666666664,54.166666666666664,56.25
2015M05,52.08333333333333,56.77083333333333,56.77083333333333,56.25,52.604166666666664,55.729166666666664
2015M06,53.125,56.25,58.333333333333336,58.33333333333333,54.6875,56.77083333333333
2015M07,54.6875,57.8125,58.85416666666667,60.41666666666667,54.6875,57.29166666666667
2015M08,54.6875,57.291666666666664,57.8125,60.9375,54.166666666666664,56.77083333333333
2015M09,55.729166666666664,57.81250000000001,57.8125,61.45833333333333,53.125,55.20833333333333
2015M10,58.33333333333333,59.375,57.8125,59.89583333333333,53.125,53.64583333333333
2015M11,59.89583333333333,60.41666666666666,58.33333333333333,60.416666666666664,54.6875,53.125
2015M12,60.9375,60.9375,59.375,60.416666666666664,55.20833333333333,52.60416666666667
2016M01,60.416666666666664,60.9375,58.85416666666667,60.9375,55.208333333333336,53.125
2016M02,57.8125,58.333333333333336,57.8125,58.854166666666664,53.125,53.64583333333333
