,osc12_10_buy.csv,osc12_10_sell.csv,osc12_5_buy.csv,osc12_5_sell.csv,osc1_10_buy.csv,osc1_10_sell.csv,osc1_5_buy.csv,osc1_5_sell.csv,osc3_10_buy.csv,osc3_10_sell.csv,osc3_5_buy.csv,osc3_5_sell.csv,osc6_10_buy.csv,osc6_10_sell.csv,osc6_5_buy.csv,osc6_5_sell.csv,osc9_10_buy.csv,osc9_10_sell.csv,osc9_5_buy.csv,osc9_5_sell.csv,average
1994M05,0.014278059320540793,0.014278059320540798,0.010062493775775078,0.010062493775775089,0.013079502151420275,0.013079502151420274,0.013079502151420275,0.013079502151420274,0.010990891738060133,0.010990891738060157,0.009990834300147407,0.009990834300147418,0.011904976384448387,0.0119049763844484,0.012908816283151062,0.012908816283151058,0.012032288154866568,0.012032288154866585,0.008052393258221002,0.008052393258221,0.011637975751805101
1994M06,0.015353261747115989,0.015353261747115994,0.011113005849411764,0.011113005849411762,0.013761223608556725,0.013761223608556718,0.013761223608556725,0.013761223608556718,0.011736209730346897,0.011736209730346888,0.010728830224573556,0.010728830224573549,0.012819045323914747,0.012819045323914759,0.01375477528230648,0.01375477528230649,0.013109657997635497,0.013109657997635497,0.0089866508578297,0.008986650857829698,0.012512388423024805
1994M07,0.015964419378750795,0.015964419378750802,0.011748839892286788,0.011748839892286788,0.014165162975206817,0.014165162975206803,0.014165162975206817,0.014165162975206803,0.01218919200575698,0.012189192005756994,0.011183303896380014,0.011183303896380017,0.013362705599075089,0.0133627055990751,0.014252601436326234,0.014252601436326246,0.01374351092896388,0.013743510928963887,0.009569622090857969,0.009569622090857976,0.01303445211788114
1994M08,0.01506804772250157,0.015068047722501577,0.011029966965990828,0.011029966965990833,-0.008887865881964054,-0.008887865881964066,-0.008887865881964054,-0.008887865881964066,0.011656876699757405,0.011656876699757394,0.010680996108081535,0.010680996108081538,0.012680508578791933,0.012680508578791947,0.013590697314702695,0.0135906973147027,0.012934392571894769,0.01293439257189477,0.008989875501611067,0.008989875501611067,0.00788556296994037
1994M09,0.01598650872657587,0.01598650872657586,0.011937343484787918,0.011937343484787918,0.01362743302561508,0.013627433025615067,0.01362743302561508,0.013627433025615067,0.012314846055729283,0.012314846055729278,0.01133410749090673,0.011334107490906733,0.013475386475647442,0.01347538647564745,0.014328767928343086,0.014328767928343098,0.013859167047085211,0.013859167047085202,0.009807270629270283,0.009807270629270282,0.0130298263889576
1994M10,0.01673142854412673,0.01673142854412672,0.012688627344574724,0.01268862734457472,0.014143283551084086,0.01414328355108407,0.014143283551084086,0.01414328355108407,0.01286467176990589,0.012864671769905883,0.011882258376019524,0.011882258376019524,0.014132126365973642,0.014132126365973652,0.01493765017250533,0.014937650172505328,0.01461736815722749,0.01461736815722748,0.010492788420874425,0.010492788420874428,0.013663348625337593
1994M11,0.018389224880562136,0.018389224880562136,0.014264766364036577,0.014264766364036573,0.01526140261782724,0.015261402617827238,0.01526140261782724,0.015261402617827238,0.014033002978287109,0.0140330029782871,0.01303178057019413,0.013031780570194126,0.01554468303247572,0.01554468303247572,0.016266153608906757,0.016266153608906753,0.016250643426602252,0.01625064342660226,0.011895372886469694,0.01189537288646969,0.015019843298318885
1994M12,0.018446646459965275,0.01844664645996528,0.014394590785317251,0.014394590785317254,0.015342006153088682,0.015342006153088675,0.015342006153088682,0.015342006153088675,0.0141331784390424,0.014133178439042379,0.013142926873231374,0.013142926873231365,0.015641248164534983,0.015641248164534976,0.016346142249611794,0.01634614224961177,0.016348539771908466,0.016348539771908466,0.012047013670165486,0.012047013670165486,0.015118429871995437
1995M01,0.019352746589642075,0.019352746589642075,0.015291830822887827,0.015291830822887828,0.015983945972832446,0.01598394597283245,0.015983945972832446,0.01598394597283245,0.014809739194251917,0.014809739194251922,0.013814583980540788,0.013814583980540777,0.016441321124697567,0.01644132112469757,0.017096132742587842,0.017096132742587835,0.017260245909991194,0.017260245909991197,0.01286634494668101,0.012866344946681013,0.01589008372569451
1995M02,0.017665338953887957,0.01766533895388797,0.013831658713415983,0.01383165871341599,-0.008071782647116455,-0.00807178264711645,-0.008071782647116455,-0.00807178264711645,-0.00624666681593653,-0.006246666815936524,0.012763487724826059,0.012763487724826056,0.015083671852651552,0.015083671852651557,0.015792739600672744,0.015792739600672748,0.01567797896560555,0.015677978965605553,0.011630091293589846,0.011630091293589842,0.008005473499448027
1995M03,0.016698423179555652,0.016698423179555645,0.013019533280371781,0.013019533280371774,-0.008362839226004623,-0.008362839226004637,-0.008362839226004623,-0.008362839226004637,-0.006560255689036801,-0.006560255689036814,-0.005842453049343624,-0.005842453049343613,0.014317589272492348,0.014317589272492354,0.015051487957895685,0.015051487957895682,0.014785047937253371,0.01478504793725337,0.010953881030610943,0.01095388103061093,0.005569757546779008
1995M04,0.016588216772344757,0.01658821677234475,0.012983536029919444,0.01298353602991944,0.01490392489055385,0.014903924890553848,0.01490392489055385,0.014903924890553848,-0.006346500253748704,-0.006346500253748698,-0.0056296664284077695,-0.005629666428407764,0.014263558639139078,0.01426355863913908,0.014988660297075572,0.014988660297075573,0.014714356123685513,0.014714356123685508,0.01095409347636445,0.01095409347636445,0.010232410443748004
1995M05,0.01552349022539395,0.01552349022539395,0.012072745922230347,0.012072745922230356,-0.008127101064655931,-0.008127101064655933,-0.008127101064655931,-0.008127101064655933,-0.006750063988234224,-0.006750063988234224,-0.006057324225753271,-0.006057324225753265,-0.0041630188453397506,-0.004163018845339746,-0.005340160686941011,-0.005340160686941009,0.013722417099326712,0.013722417099326702,0.010184451299206681,0.010184451299206688,0.0012938334670577578
1995M06,0.01588727188415688,0.0158872718841569,0.012464185818439881,0.012464185818439891,0.014183579954940665,0.014183579954940673,0.014183579954940665,0.014183579954940673,-0.0062510429907719905,-0.006251042990772002,-0.005548373311872464,-0.005548373311872449,-0.0037308131459558875,-0.003730813145955876,-0.004879844090514491,-0.004879844090514486,0.014105368576099333,0.014105368576099321,0.010557335605167669,0.010557335605167667,0.006097124825463028
1995M07,0.016248836440273327,0.016248836440273334,0.012852671429308574,0.012852671429308578,0.014463966221377297,0.01446396622137731,0.014463966221377297,0.01446396622137731,0.013716213517644868,0.013716213517644866,0.012179134392432824,0.012179134392432829,-0.0033014203675154723,-0.003301420367515472,-0.004423066938142858,-0.00442306693814285,0.01448550811810742,0.01448550811810742,0.01092815894142345,0.010928158941423453,0.010161396797628678
1995M08,0.016064521360818654,0.01606452136081865,0.012739138979497147,0.012739138979497145,0.014354520397908493,0.014354520397908507,0.014354520397908493,0.014354520397908507,0.013610956469984947,0.013610956469984947,0.012097940335268915,0.012097940335268913,-0.0032021879765657298,-0.0032021879765657207,0.014157888319604,0.014157888319604012,-0.002770531002308233,-0.0027705310023082392,0.010855681159530521,0.010855681159530523,0.010226244844164725
1995M09,0.014848472006584082,0.014848472006584068,0.011674793321270532,0.011674793321270542,-0.007605476957869806,-0.007605476957869808,-0.007605476957869806,-0.007605476957869808,-0.0057566386912269105,-0.005756638691226906,-0.00504445019257448,-0.005044450192574483,-0.003734614613310268,-0.0037346146133102605,-0.004308064061154476,-0.004308064061154463,-0.003296361844269114,-0.003296361844269106,-0.0021504915536184905,-0.0021504915536184974,-0.0012978309544038728
1995M10,-0.005022670064583276,-0.005022670064583278,-0.00392814907431808,-0.003928149074318089,-0.007959175760300322,-0.007959175760300318,-0.007959175760300322,-0.007959175760300318,-0.006123610059492083,-0.006123610059492087,-0.0054332661705197485,-0.0054332661705197485,-0.00408810473698102,-0.004088104736981018,-0.004670790569955325,-0.00467079056995532,-0.0036470815815656393,-0.003647081581565632,-0.002564205492541015,-0.002564205492541009,-0.005139622927055682
1995M11,-0.0047529751329916745,-0.004752975132991679,-0.003655632435307671,-0.003655632435307668,0.013498763281092535,0.013498763281092544,0.013498763281092535,0.013498763281092544,-0.005816461111260914,-0.005816461111260921,-0.005123365996625245,-0.005123365996625241,-0.0038309541830893485,-0.003830954183089343,-0.004396126015536021,-0.004396126015536034,-0.003399679234441297,-0.0033996792344412998,-0.002294873470108925,-0.002294873470108912,-0.0006272541017176015
1995M12,-0.0047954389501322185,-0.0047954389501322055,-0.0037124881401777374,-0.0037124881401777296,-0.0076232048873953705,-0.0076232048873953835,-0.0076232048873953705,-0.0076232048873953835,-0.0058507002074793465,-0.005850700207479355,-0.0051669675917059114,-0.0051669675917059175,-0.0038824855995366996,-0.0038824855995367013,-0.004443796720513964,-0.004443796720513951,-0.003454525924785151,-0.0034545259247851525,-0.002369984138021263,-0.0023699841380212558,-0.004892279704714304
